,都道府県,都市,人口2015,人口2020,年少人口,生産年齢人口,老年人口,人口増加率,年少人口増加率,生産年齢人口増加率,老年人口増加率,出生数,死亡数,転入数,転出数,出生数増加率,死亡数増加率,転入数増加率,転出数増加率,地元進学男性,地元進学女性,地元就職男性,地元就職女性,流出進学男性,流出進学女性,流出就職男性,流出就職女性,流入進学男性,流入進学女性,流入就職男性,流入就職女性,有効求職者数（男性）,有効求職者数（女性）,有効求人数,就職件数
0,北海道,札幌市,1952356,1973395,215366,1185724,541242,1.08,-2.55,-4.02,11.93,12333,20178,122053,111570,0.8408672530169768,1.1418062471706654,0.9634292660593909,0.9505269345783245,10.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,423669,549740,930410,45598
1,北海道,函館市,265979,251084,23560,134953,89257,-5.59,-13.15,-11.29,3.87,1230,3814,8152,9130,0.7536764705882353,1.0249932813759741,0.8605510397973187,0.8844328199166909,10.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,423669,549740,930410,45598
2,北海道,小樽市,121924,111299,9169,55643,45426,-8.7,-17.91,-14.8,0.41,432,1946,3151,3595,0.7152317880794702,1.018848167539267,0.9088549177963657,0.8425123037262714,10.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,423669,549740,930410,45598
3,北海道,旭川市,339605,329306,34691,178060,112411,-3.02,-6.67,-6.97,5.61,1917,4669,10289,10327,0.824516129032258,1.1617317740731525,0.9057218309859155,0.8839339210819139,10.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,423669,549740,930410,45598
4,北海道,室蘭市,88564,82383,7769,43398,30330,-6.97,-15.41,-11.43,0.7,428,1248,2913,3514,0.7417677642980935,0.9928400954653938,0.843370005790388,0.8831364664488565,10.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,423669,549740,930410,45598
5,北海道,釧路市,174742,165077,16634,90595,56355,-5.52,-14.25,-11.09,6.6,860,2260,5645,6607,0.7624113475177305,1.0635294117647058,0.8753295084509226,0.915985027034521,10.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,423669,549740,930410,45598
6,北海道,帯広市,169327,166536,19073,96804,49000,-1.64,-7.25,-6.81,9.78,1074,1848,7438,7106,0.8026905829596412,1.1085782843431313,0.9488455160096951,0.9186813186813186,10.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,423669,549740,930410,45598
7,北海道,北見市,121226,115480,12014,63217,38841,-4.73,-11.46,-10.68,6.6,614,1530,3837,4146,0.7542997542997543,1.093638313080772,0.9124851367419738,0.8688181056160938,10.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,423669,549740,930410,45598
8,北海道,夕張市,8843,7334,411,3093,3828,-17.05,-17.79,-23.53,-10.88,22,184,223,396,1.0476190476190477,0.9154228855721394,0.6819571865443425,0.7429643527204502,10.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,423669,549740,930410,45598
9,北海道,岩見沢市,84499,79306,7859,42391,28880,-6.14,-12.5,-11.39,5.01,372,1091,2431,2776,0.7576374745417516,1.010185185185185,0.89375,0.821301775147929,10.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,423669,549740,930410,45598
